title,year,genre,overview,rating,language,industry,time,poster_url
Fight Club,1990,Comedy,"This is the story of Movie 242, which involves unexpected events and dramatic turns.",9.1,English,Hollywood,01:43:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Taare Zameen Par,2018,Thriller,"This is the story of Movie 243, which involves unexpected events and dramatic turns.",7.5,Hindi,Bollywood,02:06:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Disciple,1957,"Thriller, Crime","This is the story of Movie 244, which involves unexpected events and dramatic turns.",5.2,Marathi,Marathi,01:49:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Chak De! India,2012,"Drama, Sci-Fi","This is the story of Movie 245, which involves unexpected events and dramatic turns.",6.3,Hindi,Bollywood,02:14:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Chi Va Chi Sau Ka,1954,"Sci-Fi, Comedy","This is the story of Movie 246, which involves unexpected events and dramatic turns.",5.5,Marathi,Marathi,01:31:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Whiplash,1979,"Horror, Drama, Crime","This is the story of Movie 247, which involves unexpected events and dramatic turns.",4.1,English,Hollywood,02:15:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Queen,1955,"Romance, Sci-Fi","This is the story of Movie 248, which involves unexpected events and dramatic turns.",5.6,Hindi,Bollywood,01:38:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Drishyam,1959,Action,"This is the story of Movie 249, which involves unexpected events and dramatic turns.",4.8,Hindi,Bollywood,02:52:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Lagaan,2012,Adventure,"This is the story of Movie 250, which involves unexpected events and dramatic turns.",7.3,Hindi,Bollywood,02:28:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Court,2000,"Drama, Fantasy, Action","This is the story of Movie 251, which involves unexpected events and dramatic turns.",8.9,Marathi,Marathi,02:45:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Matrix,1960,"Romance, Fantasy","This is the story of Movie 252, which involves unexpected events and dramatic turns.",8.0,English,Hollywood,01:40:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Sairat,1975,"Comedy, Horror, Crime","This is the story of Movie 253, which involves unexpected events and dramatic turns.",5.8,Marathi,Marathi,01:40:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Anandi Gopal,2008,Comedy,"This is the story of Movie 254, which involves unexpected events and dramatic turns.",4.4,Marathi,Marathi,01:37:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Mimi,1997,"Action, Drama","This is the story of Movie 255, which involves unexpected events and dramatic turns.",9.1,Hindi,Bollywood,02:38:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Prestige,1976,"Crime, Horror","This is the story of Movie 256, which involves unexpected events and dramatic turns.",9.2,English,Hollywood,02:17:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Parasite,1998,"Sci-Fi, Crime, Thriller","This is the story of Movie 257, which involves unexpected events and dramatic turns.",4.8,English,Hollywood,02:02:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Godfather,1967,"Thriller, Comedy","This is the story of Movie 258, which involves unexpected events and dramatic turns.",9.4,English,Hollywood,01:57:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Sairat,2009,"Crime, Adventure, Action","This is the story of Movie 259, which involves unexpected events and dramatic turns.",7.4,Marathi,Marathi,02:34:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Nude,1972,Action,"This is the story of Movie 260, which involves unexpected events and dramatic turns.",6.2,Marathi,Marathi,02:58:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Titanic,1997,"Comedy, Romance, Action","This is the story of Movie 261, which involves unexpected events and dramatic turns.",9.1,English,Hollywood,02:44:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Social Network,1963,Crime,"This is the story of Movie 262, which involves unexpected events and dramatic turns.",9.3,English,Hollywood,02:14:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Natsamrat,1960,"Sci-Fi, Drama, Horror","This is the story of Movie 263, which involves unexpected events and dramatic turns.",4.1,Marathi,Marathi,02:20:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Dangal,2020,"Fantasy, Horror, Action","This is the story of Movie 264, which involves unexpected events and dramatic turns.",5.9,Hindi,Bollywood,02:10:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Gladiator,1990,Action,"This is the story of Movie 265, which involves unexpected events and dramatic turns.",4.6,English,Hollywood,02:22:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Drishyam,2009,"Fantasy, Horror, Thriller","This is the story of Movie 266, which involves unexpected events and dramatic turns.",8.2,Hindi,Bollywood,02:18:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Dark Knight,1951,Thriller,"This is the story of Movie 267, which involves unexpected events and dramatic turns.",6.4,English,Hollywood,02:00:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Parasite,1980,"Horror, Comedy, Romance","This is the story of Movie 268, which involves unexpected events and dramatic turns.",6.7,English,Hollywood,01:33:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Kahaani,2014,"Thriller, Sci-Fi, Adventure","This is the story of Movie 269, which involves unexpected events and dramatic turns.",5.4,Hindi,Bollywood,02:23:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Forrest Gump,1971,"Action, Sci-Fi","This is the story of Movie 270, which involves unexpected events and dramatic turns.",7.2,English,Hollywood,02:51:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Gladiator,1979,"Crime, Thriller, Fantasy","This is the story of Movie 271, which involves unexpected events and dramatic turns.",4.9,English,Hollywood,02:18:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Avengers: Endgame,1958,Thriller,"This is the story of Movie 272, which involves unexpected events and dramatic turns.",7.0,English,Hollywood,02:05:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Whiplash,1982,Adventure,"This is the story of Movie 273, which involves unexpected events and dramatic turns.",4.1,English,Hollywood,02:29:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Titanic,1962,Crime,"This is the story of Movie 274, which involves unexpected events and dramatic turns.",6.6,English,Hollywood,01:42:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Jogwa,2005,"Sci-Fi, Comedy","This is the story of Movie 275, which involves unexpected events and dramatic turns.",5.6,Marathi,Marathi,01:35:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Pulp Fiction,1993,"Drama, Fantasy, Action","This is the story of Movie 276, which involves unexpected events and dramatic turns.",6.7,English,Hollywood,02:30:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Katyar Kaljat Ghusali,1954,Action,"This is the story of Movie 277, which involves unexpected events and dramatic turns.",9.5,Marathi,Marathi,02:40:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
3 Idiots,2007,"Drama, Romance, Horror","This is the story of Movie 278, which involves unexpected events and dramatic turns.",4.8,Hindi,Bollywood,02:28:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Dune,1989,Horror,"This is the story of Movie 279, which involves unexpected events and dramatic turns.",5.0,English,Hollywood,01:56:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Dune,1953,"Fantasy, Thriller, Comedy","This is the story of Movie 280, which involves unexpected events and dramatic turns.",7.7,English,Hollywood,01:30:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Whiplash,2021,"Sci-Fi, Drama","This is the story of Movie 281, which involves unexpected events and dramatic turns.",5.1,English,Hollywood,02:29:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Forrest Gump,2003,"Adventure, Romance, Comedy","This is the story of Movie 282, which involves unexpected events and dramatic turns.",6.9,English,Hollywood,02:26:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Green Mile,1962,"Adventure, Horror, Crime","This is the story of Movie 283, which involves unexpected events and dramatic turns.",5.0,English,Hollywood,02:22:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Jogwa,1992,Comedy,"This is the story of Movie 284, which involves unexpected events and dramatic turns.",5.1,Marathi,Marathi,01:49:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Sairat,1970,Drama,"This is the story of Movie 285, which involves unexpected events and dramatic turns.",8.6,Marathi,Marathi,02:28:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Green Mile,2007,Fantasy,"This is the story of Movie 286, which involves unexpected events and dramatic turns.",5.3,English,Hollywood,02:06:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Piku,1981,"Adventure, Action","This is the story of Movie 287, which involves unexpected events and dramatic turns.",8.7,Hindi,Bollywood,02:48:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Titanic,1971,Comedy,"This is the story of Movie 288, which involves unexpected events and dramatic turns.",5.4,English,Hollywood,01:34:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Dark Knight,1969,"Romance, Fantasy, Horror","This is the story of Movie 289, which involves unexpected events and dramatic turns.",6.8,English,Hollywood,01:55:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Joker,1966,Crime,"This is the story of Movie 290, which involves unexpected events and dramatic turns.",8.4,English,Hollywood,01:58:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Inception,1967,"Sci-Fi, Horror","This is the story of Movie 291, which involves unexpected events and dramatic turns.",7.8,English,Hollywood,01:51:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Shawshank Redemption,1986,Thriller,"This is the story of Movie 292, which involves unexpected events and dramatic turns.",4.1,English,Hollywood,02:11:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Duniyadari,1973,Comedy,"This is the story of Movie 293, which involves unexpected events and dramatic turns.",6.0,Marathi,Marathi,01:35:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Swades,1963,"Fantasy, Horror, Comedy","This is the story of Movie 294, which involves unexpected events and dramatic turns.",9.5,Hindi,Bollywood,01:46:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Article 15,2018,"Fantasy, Horror, Sci-Fi","This is the story of Movie 295, which involves unexpected events and dramatic turns.",8.9,Hindi,Bollywood,02:14:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Social Network,1999,"Action, Horror","This is the story of Movie 296, which involves unexpected events and dramatic turns.",8.5,English,Hollywood,02:45:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Masaan,1962,Action,"This is the story of Movie 297, which involves unexpected events and dramatic turns.",9.5,Hindi,Bollywood,02:47:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Parasite,1950,"Drama, Horror","This is the story of Movie 298, which involves unexpected events and dramatic turns.",6.5,English,Hollywood,02:56:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Forrest Gump,1963,Horror,"This is the story of Movie 299, which involves unexpected events and dramatic turns.",5.3,English,Hollywood,01:47:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Queen,2017,Sci-Fi,"This is the story of Movie 300, which involves unexpected events and dramatic turns.",8.0,Hindi,Bollywood,02:04:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
La La Land,2002,Fantasy,"This is the story of Movie 301, which involves unexpected events and dramatic turns.",7.0,English,Hollywood,01:52:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Interstellar,1987,"Romance, Crime, Comedy","This is the story of Movie 302, which involves unexpected events and dramatic turns.",9.5,English,Hollywood,01:35:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Mee Shivajiraje Bhosale Boltoy,2016,Thriller,"This is the story of Movie 303, which involves unexpected events and dramatic turns.",5.4,Marathi,Marathi,01:49:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Harishchandrachi Factory,1964,"Drama, Horror, Sci-Fi","This is the story of Movie 304, which involves unexpected events and dramatic turns.",5.0,Marathi,Marathi,02:37:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Godfather,2001,Adventure,"This is the story of Movie 305, which involves unexpected events and dramatic turns.",9.1,English,Hollywood,02:41:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Sholay,1970,"Fantasy, Romance, Adventure","This is the story of Movie 306, which involves unexpected events and dramatic turns.",5.6,Hindi,Bollywood,02:12:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Invisible Legacy,1988,"Horror, Sci-Fi, Adventure","This is the story of Movie 307, which involves unexpected events and dramatic turns.",9.3,English,Hollywood,02:39:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Masaan,2008,"Comedy, Adventure","This is the story of Movie 308, which involves unexpected events and dramatic turns.",5.2,Hindi,Bollywood,02:13:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Zenda,1959,Adventure,"This is the story of Movie 309, which involves unexpected events and dramatic turns.",5.4,Marathi,Marathi,02:41:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
La La Land,1986,"Romance, Horror, Thriller","This is the story of Movie 310, which involves unexpected events and dramatic turns.",4.7,English,Hollywood,01:30:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Lagaan,1997,"Crime, Action, Adventure","This is the story of Movie 311, which involves unexpected events and dramatic turns.",5.0,Hindi,Bollywood,02:46:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Pulp Fiction,1973,Fantasy,"This is the story of Movie 312, which involves unexpected events and dramatic turns.",4.4,English,Hollywood,02:11:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Godfather,1957,Sci-Fi,"This is the story of Movie 313, which involves unexpected events and dramatic turns.",5.8,English,Hollywood,02:19:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Whiplash,1993,"Adventure, Action, Crime","This is the story of Movie 314, which involves unexpected events and dramatic turns.",7.1,English,Hollywood,02:44:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
3 Idiots,1999,Romance,"This is the story of Movie 315, which involves unexpected events and dramatic turns.",8.6,Hindi,Bollywood,01:48:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Shawshank Redemption,1952,"Comedy, Crime","This is the story of Movie 316, which involves unexpected events and dramatic turns.",6.2,English,Hollywood,01:47:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Inception,1956,"Sci-Fi, Horror, Comedy","This is the story of Movie 317, which involves unexpected events and dramatic turns.",5.7,English,Hollywood,01:44:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Shawshank Redemption,2020,Drama,"This is the story of Movie 318, which involves unexpected events and dramatic turns.",9.2,English,Hollywood,02:37:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Shawshank Redemption,2022,Horror,"This is the story of Movie 319, which involves unexpected events and dramatic turns.",7.8,English,Hollywood,02:14:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Timepass,2001,"Action, Sci-Fi","This is the story of Movie 320, which involves unexpected events and dramatic turns.",8.8,Marathi,Marathi,02:52:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Sacred Empire,1965,"Comedy, Thriller, Action","This is the story of Movie 321, which involves unexpected events and dramatic turns.",7.1,English,Hollywood,02:38:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Barfi!,2013,"Thriller, Crime, Sci-Fi","This is the story of Movie 322, which involves unexpected events and dramatic turns.",8.9,Hindi,Bollywood,02:03:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Pulp Fiction,1998,"Fantasy, Romance, Drama","This is the story of Movie 323, which involves unexpected events and dramatic turns.",5.1,English,Hollywood,02:14:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Chak De! India,2002,"Comedy, Crime, Thriller","This is the story of Movie 324, which involves unexpected events and dramatic turns.",7.2,Hindi,Bollywood,01:54:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Gully Boy,2006,Adventure,"This is the story of Movie 325, which involves unexpected events and dramatic turns.",5.1,Hindi,Bollywood,02:54:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Matrix,1998,"Sci-Fi, Adventure","This is the story of Movie 326, which involves unexpected events and dramatic turns.",6.3,English,Hollywood,02:34:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Andaz Apna Apna,2017,"Romance, Drama","This is the story of Movie 327, which involves unexpected events and dramatic turns.",4.7,Hindi,Bollywood,02:13:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Parasite,1974,"Thriller, Adventure, Sci-Fi","This is the story of Movie 328, which involves unexpected events and dramatic turns.",5.0,English,Hollywood,02:48:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Lagaan,2005,"Thriller, Horror, Fantasy","This is the story of Movie 329, which involves unexpected events and dramatic turns.",4.0,Hindi,Bollywood,01:49:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Interstellar,1987,Fantasy,"This is the story of Movie 330, which involves unexpected events and dramatic turns.",6.6,English,Hollywood,01:51:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Inception,1993,"Thriller, Drama, Action","This is the story of Movie 331, which involves unexpected events and dramatic turns.",8.8,English,Hollywood,02:54:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Parasite,1952,"Crime, Romance","This is the story of Movie 332, which involves unexpected events and dramatic turns.",4.6,English,Hollywood,01:46:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Forrest Gump,1986,"Romance, Crime, Thriller","This is the story of Movie 333, which involves unexpected events and dramatic turns.",6.8,English,Hollywood,01:39:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Swades,1957,"Fantasy, Sci-Fi","This is the story of Movie 334, which involves unexpected events and dramatic turns.",4.6,Hindi,Bollywood,01:55:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Dark Knight,1990,Romance,"This is the story of Movie 335, which involves unexpected events and dramatic turns.",6.3,English,Hollywood,01:41:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Chak De! India,1951,"Adventure, Romance","This is the story of Movie 336, which involves unexpected events and dramatic turns.",5.0,Hindi,Bollywood,02:51:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Inception,2020,Fantasy,"This is the story of Movie 337, which involves unexpected events and dramatic turns.",4.1,English,Hollywood,02:10:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Swades,1970,Sci-Fi,"This is the story of Movie 338, which involves unexpected events and dramatic turns.",7.2,Hindi,Bollywood,01:56:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Shawshank Redemption,1960,"Action, Drama","This is the story of Movie 339, which involves unexpected events and dramatic turns.",4.8,English,Hollywood,02:44:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Interstellar,1956,"Adventure, Horror","This is the story of Movie 340, which involves unexpected events and dramatic turns.",6.1,English,Hollywood,02:24:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Masaan,1963,"Crime, Comedy","This is the story of Movie 341, which involves unexpected events and dramatic turns.",6.6,Hindi,Bollywood,01:32:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Social Network,1961,"Adventure, Sci-Fi, Crime","This is the story of Movie 342, which involves unexpected events and dramatic turns.",6.3,English,Hollywood,02:13:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Andaz Apna Apna,1969,Drama,"This is the story of Movie 343, which involves unexpected events and dramatic turns.",5.1,Hindi,Bollywood,02:33:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
PK,1972,Action,"This is the story of Movie 344, which involves unexpected events and dramatic turns.",6.1,Hindi,Bollywood,02:28:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Forrest Gump,2022,Thriller,"This is the story of Movie 345, which involves unexpected events and dramatic turns.",7.7,English,Hollywood,02:07:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Natsamrat,1964,Sci-Fi,"This is the story of Movie 346, which involves unexpected events and dramatic turns.",8.7,Marathi,Marathi,02:10:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Lalbaug Parel,2012,"Sci-Fi, Thriller, Crime","This is the story of Movie 347, which involves unexpected events and dramatic turns.",8.5,Marathi,Marathi,02:19:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Forrest Gump,1999,"Adventure, Drama, Fantasy","This is the story of Movie 348, which involves unexpected events and dramatic turns.",4.1,English,Hollywood,02:41:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Forrest Gump,1999,"Romance, Action","This is the story of Movie 349, which involves unexpected events and dramatic turns.",8.7,English,Hollywood,02:39:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Natsamrat,2021,"Thriller, Drama","This is the story of Movie 350, which involves unexpected events and dramatic turns.",7.7,Marathi,Marathi,02:39:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Prestige,2010,"Fantasy, Romance","This is the story of Movie 351, which involves unexpected events and dramatic turns.",9.0,English,Hollywood,01:59:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Glorious Dream,2015,"Action, Fantasy, Horror","This is the story of Movie 352, which involves unexpected events and dramatic turns.",4.5,English,Hollywood,02:12:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Zenda,1993,"Thriller, Comedy, Romance","This is the story of Movie 353, which involves unexpected events and dramatic turns.",8.7,Marathi,Marathi,01:34:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Godfather,2021,Comedy,"This is the story of Movie 354, which involves unexpected events and dramatic turns.",7.3,English,Hollywood,01:37:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Godfather,1957,"Romance, Comedy","This is the story of Movie 355, which involves unexpected events and dramatic turns.",7.9,English,Hollywood,01:53:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Lagaan,1965,Drama,"This is the story of Movie 356, which involves unexpected events and dramatic turns.",5.2,Hindi,Bollywood,02:25:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Avengers: Endgame,1954,Thriller,"This is the story of Movie 357, which involves unexpected events and dramatic turns.",7.7,English,Hollywood,01:53:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Dune,1975,Horror,"This is the story of Movie 358, which involves unexpected events and dramatic turns.",8.1,English,Hollywood,02:15:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Avengers: Endgame,2005,"Horror, Crime, Sci-Fi","This is the story of Movie 359, which involves unexpected events and dramatic turns.",7.6,English,Hollywood,02:01:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Piku,1973,Drama,"This is the story of Movie 360, which involves unexpected events and dramatic turns.",8.6,Hindi,Bollywood,02:54:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Pulp Fiction,2007,Romance,"This is the story of Movie 361, which involves unexpected events and dramatic turns.",6.4,English,Hollywood,01:43:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Matrix,1958,Thriller,"This is the story of Movie 362, which involves unexpected events and dramatic turns.",8.1,English,Hollywood,02:17:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
PK,1963,"Thriller, Adventure","This is the story of Movie 363, which involves unexpected events and dramatic turns.",7.8,Hindi,Bollywood,02:11:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Barfi!,1962,"Fantasy, Sci-Fi","This is the story of Movie 364, which involves unexpected events and dramatic turns.",4.0,Hindi,Bollywood,02:06:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Dune,2008,Adventure,"This is the story of Movie 365, which involves unexpected events and dramatic turns.",8.5,English,Hollywood,02:13:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Matrix,1980,Drama,"This is the story of Movie 366, which involves unexpected events and dramatic turns.",4.6,English,Hollywood,02:32:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Zindagi Na Milegi Dobara,2016,"Action, Horror, Drama","This is the story of Movie 367, which involves unexpected events and dramatic turns.",6.2,Hindi,Bollywood,02:51:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Sholay,1975,Fantasy,"This is the story of Movie 368, which involves unexpected events and dramatic turns.",7.4,Hindi,Bollywood,02:14:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Gladiator,1959,Romance,"This is the story of Movie 369, which involves unexpected events and dramatic turns.",8.3,English,Hollywood,01:58:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Court,1992,Crime,"This is the story of Movie 370, which involves unexpected events and dramatic turns.",4.3,Marathi,Marathi,01:56:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Forrest Gump,2011,"Thriller, Sci-Fi","This is the story of Movie 371, which involves unexpected events and dramatic turns.",8.1,English,Hollywood,01:42:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Kahaani,1960,"Drama, Romance, Sci-Fi","This is the story of Movie 372, which involves unexpected events and dramatic turns.",9.4,Hindi,Bollywood,02:11:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Dark Knight,2022,"Adventure, Drama","This is the story of Movie 373, which involves unexpected events and dramatic turns.",9.0,English,Hollywood,02:20:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Dune,1967,Romance,"This is the story of Movie 374, which involves unexpected events and dramatic turns.",7.6,English,Hollywood,01:55:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Social Network,1959,"Drama, Action","This is the story of Movie 375, which involves unexpected events and dramatic turns.",7.6,English,Hollywood,02:36:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Shawshank Redemption,2005,"Adventure, Romance","This is the story of Movie 376, which involves unexpected events and dramatic turns.",4.1,English,Hollywood,02:15:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Interstellar,2013,"Comedy, Adventure, Crime","This is the story of Movie 377, which involves unexpected events and dramatic turns.",7.1,English,Hollywood,02:17:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
3 Idiots,2020,Comedy,"This is the story of Movie 378, which involves unexpected events and dramatic turns.",7.5,Hindi,Bollywood,01:41:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Nude,1999,"Sci-Fi, Thriller, Horror","This is the story of Movie 379, which involves unexpected events and dramatic turns.",8.0,Marathi,Marathi,02:20:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Inception,2004,"Drama, Crime, Thriller","This is the story of Movie 380, which involves unexpected events and dramatic turns.",4.2,English,Hollywood,02:47:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Kahaani,1996,"Thriller, Horror, Action","This is the story of Movie 381, which involves unexpected events and dramatic turns.",4.6,Hindi,Bollywood,02:31:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
The Godfather,2011,"Crime, Comedy","This is the story of Movie 382, which involves unexpected events and dramatic turns.",8.7,English,Hollywood,01:41:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
3 Idiots,1950,Romance,"This is the story of Movie 383, which involves unexpected events and dramatic turns.",6.1,Hindi,Bollywood,01:35:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Balak Palak,1982,"Sci-Fi, Comedy, Horror","This is the story of Movie 384, which involves unexpected events and dramatic turns.",7.9,Marathi,Marathi,01:43:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Titanic,1993,"Adventure, Comedy, Thriller","This is the story of Movie 385, which involves unexpected events and dramatic turns.",7.1,English,Hollywood,02:29:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Chi Va Chi Sau Ka,1985,"Horror, Thriller, Crime","This is the story of Movie 386, which involves unexpected events and dramatic turns.",7.3,Marathi,Marathi,01:46:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Sairat,1951,"Drama, Fantasy, Crime","This is the story of Movie 387, which involves unexpected events and dramatic turns.",8.2,Marathi,Marathi,02:17:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Chi Va Chi Sau Ka,2011,Fantasy,"This is the story of Movie 388, which involves unexpected events and dramatic turns.",5.2,Marathi,Marathi,02:04:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
Gully Boy,1961,Thriller,"This is the story of Movie 389, which involves unexpected events and dramatic turns.",6.0,Hindi,Bollywood,01:59:00,https://via.placeholder.com/200x300.png?text=Movie+Poster
